İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/1531,Milas Ören Marina,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ören Mahallesi No:163 Milas / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1565,Unigue Alaçatı Beach Club,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Alaçatı Mahallesi 18001. Sokağı No:3 Çeşme / İZMİR,,Buton yok veya okunamadı
ŞRJ/1108,Vega AVM Yalova,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kazım Karabekir Mahallesi Şht.ömer Faydalı Caddesi No:233 Merkez / YALOVA,,Buton yok veya okunamadı
ŞRJ/1559,YDA Dalaman Havalimanı,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dalaman Havalimanı Mahallesi Dalaman / MUĞLA,,Buton yok veya okunamadı
ŞRJ/8774,Münür Bosch Araç Servisi Adana,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Onur Mahallesi Turhan Cemal Bekirer Sokağı No:379 Seyhan / ADANA,,Buton yok veya okunamadı
ŞRJ/8775,Çanakçı Bosch Araç Servisi Balıkesir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Paşa Alanı Mahallesi Bandırma Caddesi Karesi / BALIKESİR,,Buton yok veya okunamadı
ŞRJ/8776,TP Canbolat Petrol Çankırı,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Abdulhalik Renda Mahallesi Refik Saydam Sokağı No:28 Merkez / ÇANKIRI,,Buton yok veya okunamadı
ŞRJ/8778,TP Canbolat Petrol Sülüklü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Aşağıpelitözü Mahallesi Çankırı-ankara Karayolu 18.km Sokağı Sülüklü Mevkii Merkez / ÇANKIRI,,Buton yok veya okunamadı
ŞRJ/8780,Pivottex Makina,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gazi Mahallesi No:27 1. Küçük Sanayi Sitesi Küme Evleri Babadağ / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/8781,Meta Nikel Eskişehir Ofis,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yayla Köyü Mahallesi No:3 Mihalıççık / ESKİŞEHİR,,Buton yok veya okunamadı
ŞRJ/8782,Çelim Yıldızhan,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Zekeriyaköy Mahallesi 4 Mevsim Evleri Sarıyer / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8783,Elektro Motors İstanbul,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çakmaklı Mahallesi Hadımköy Yolu Caddesi Büyükçekmece / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8787,Lamiler Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çobanlar Mahallesi Kaç Yolu Seydikemer / MUĞLA,,Buton yok veya okunamadı
ŞRJ/8789,Reşha Otomotiv Bosch Araç Servisi Ordu,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karapınar Mahallesi 1159 Sokağı No:38 Altınordu / ORDU,,Buton yok veya okunamadı
ŞRJ/8793,Dağ Akaryakıt Aksaray,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Aratol Bahçeli Mahallesi Nescmettin Erbakan Caddesi No:42 Merkez / AKSARAY,,Buton yok veya okunamadı
ŞRJ/8799,Kırcami Petrol Antalya,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kırcami Mahallesi Muratpaşa / ANTALYA,,Buton yok veya okunamadı
ŞRJ/8802,Risus Country Center,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Uzunyalı Mahallesi No:103 Kemalpaşa / ARTVİN,,Buton yok veya okunamadı
ŞRJ/8803,Saklı Göl Evleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karacaören Mahallesi Karacaören Köyü Pamuklu Mevkii Bucak / BURDUR,,Buton yok veya okunamadı
ŞRJ/8805,Gemlik Ticaret ve Sanayi Odası,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Hamidiye Mahallesi No:136 Gemlik / BURSA,,Buton yok veya okunamadı
ŞRJ/8807,Metis Et Mangal,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Nilüferköy Mahallesi Nilüfer Caddesi No:34 Osmangazi / BURSA,,Buton yok veya okunamadı
ŞRJ/8811,Sece Mimarlık,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kocasinan Mahallesi E-5 Karayolu Caddesi No:27 Merkez / EDİRNE,,Buton yok veya okunamadı
ŞRJ/8813,TP HRS Akaryakıt,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güzelyalı Mahallesi Güzelyalı Caddesi Bulancak / GİRESUN,,Buton yok veya okunamadı
ŞRJ/8814,Monarch Oto,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Acarlar Mahallesi 7 Sokağı No:41 Beykoz / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8818,Gençbey,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Baklalı Mahallesi Terkos Karaburun Caddesi No:5 Arnavutköy / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8820,Peçka Mangalbaşı Çatalca,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kaleiçi Mahallesi Hanice Caddesi No:4 Çatalca / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8821,Göbene Otel Alaçatı,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Alaçatı Mahallesi 14052 Sokağı Çeşme / İZMİR,,Buton yok veya okunamadı
ŞRJ/8823,Ertek Petrol Menderes,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Hacı İsa Mahallesi No:374 Menderes / İZMİR,,Buton yok veya okunamadı
ŞRJ/8824,Ertekler Otomotiv,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Emrez Mahallesi Akçay Caddesi No:58 Gaziemir / İZMİR,,Buton yok veya okunamadı
ŞRJ/8825,Saraypark TP,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Zengen Mahallesi Aksaray Çevre Yolu Caddesi No:147 Ereğli / KONYA,,Buton yok veya okunamadı
ŞRJ/8827,Tekir Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Zafer Mahallesi Kayseri Yolu 1 Caddesi No:2 Merkez / NİĞDE,,Buton yok veya okunamadı
ŞRJ/8830,Beni Luxury Resort Katyora Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yüceler Mahallesi Aşağıorta Sokağı No:12 Ünye / ORDU,,Buton yok veya okunamadı
ŞRJ/8844,TP Haydaroğulları Petrol Şırnak,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Konak Mahallesi No:230 Cizre / ŞIRNAK,,Buton yok veya okunamadı
ŞRJ/8846,Beyaz Çiftlik Otel&Restoran,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Pazarcık Mahallesi No:1/1 Ayvacık Mevkii Küme Evleri Saray / TEKİRDAĞ,,Buton yok veya okunamadı
ŞRJ/8847,Nihat Usta Akçaabat Köfte Restaurant,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dürbinar Mahallesi Adnan Menderes Caddesi No:114/A Akçaabat / TRABZON,,Buton yok veya okunamadı
ŞRJ/8848,Şahbazoğlu Faroz Et Balık Lokantası,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yalı Mahallesi Sahil Caddesi No:104 Ortahisar / TRABZON,,Buton yok veya okunamadı
ŞRJ/8849,Teco Yeni Petrol Yozgat,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Agah Efendi Mahallesi No:155 Sorgun / YOZGAT,,Buton yok veya okunamadı
ŞRJ/8850,Ege Sevilen Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ergenekon Mahallesi Ankara Asfaltı Caddesi No:84 Turgutlu / MANİSA,,Buton yok veya okunamadı
ŞRJ/8851,Ünallar Otomotiv,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Evrenos Mahallesi No:34 Evrenos Küme Evler Yunusemre / MANİSA,,Buton yok veya okunamadı
ŞRJ/8859,Maranda Cafe Restaurant,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeşilyalı Mahallesi Yeşilyalı Devlet Karayolu Caddesi Arsin / TRABZON,,Buton yok veya okunamadı
ŞRJ/8860,DR Akalın Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ağızkarahan Caddesi No:8 Merkez / AKSARAY,,Buton yok veya okunamadı
ŞRJ/8861,Erdemir Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kapıkaya Mücavir Mahallesi Tokat Amasya Yolu Caddesi No:56A Merkez / AMASYA,,Buton yok veya okunamadı
ŞRJ/8862,TP Edremit Balıkesir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Hamidiye Mahallesi İzmir Çanakkale Otoyolu Edremit / BALIKESİR,,Buton yok veya okunamadı
ŞRJ/8863,Akkoyun Dinlenme Tesisleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çitli Mahallesi Çitli-ankara Yolu Caddesi No:142/A İnegöl / BURSA,,Buton yok veya okunamadı
ŞRJ/8864,Özmeda Petrol Kırşehir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Saraylar Mahallesi Ankara Caddesi No:12 Merkez / KIRŞEHİR,,Buton yok veya okunamadı
ŞRJ/8867,Sakyatan 1,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sakyatan Mahallesi Konya Ereğli Caddesi No:211 Karatay / KONYA,,Buton yok veya okunamadı
ŞRJ/8870,Öz Petrol Best Oil,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Beyazıtpaşa Mahallesi İptekyolu Sokağı No:99 Dadıköyü Küçük Sanayi Sitesi Merkez / AMASYA,,Buton yok veya okunamadı
ŞRJ/8871,Hüsrev Lokantası,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,B. Taşhane Mahallesi Hasan Sarıoğlu Caddesi No:51 Çayeli / RİZE,,Buton yok veya okunamadı
ŞRJ/8872,Akpınar Yıldızlı Restaurant,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yıldızlı Mahallesi Sahil Yolu Caddesi Akçaabat / TRABZON,,Buton yok veya okunamadı
ŞRJ/8905,Halıcı Gölcükler Ulus Mağazası,Halka Açık,solarşarj,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,Cumhuriyet Mahallesi No:211 Acıpayam Yolu Üzeri Pamukkale / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/8908,Şelale Resturant,Halka Açık,solarşarj,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,Pınarkent Mahallesi No:88A Pamukkale / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/8911,Çağlayan Resturant,Halka Açık,solarşarj,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,Yeni Mahalle Mahallesi No:523 Acıpayam / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/8912,Kuşadası Bahçeşehir Koleji,Halka Açık,solarşarj,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,SOLAR ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,İkiçeşmelik Mahallesi Kirazlı Yolu Caddesi No:85 Kuşadası / AYDIN,,Buton yok veya okunamadı
ŞRJ/1722,SÖNMEZ PARK,Halka Açık,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,EN YAKIT ANONİM ŞİRKETİ,Çamlıca Mahallesi No:453 /1 Bucak / BURDUR,,Buton yok veya okunamadı
ŞRJ/8931,FEVSAN AKARYAKIT LUKOİL,Halka Açık,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,FEVSAN AKARYAKIT VE İNŞAAT YATIRIMLARI SANAYİ TİCARET LİMİTED ŞİRKETİ,Hafızpaşa Mahallesi Cumhuriyet Caddesi No:106 /1 Merkez / KARS,,Buton yok veya okunamadı
ŞRJ/8934,YAKAMOZ RESTAURANT,Halka Açık,AKSA ŞARJ,AKSA MÜŞTERİ ÇÖZÜMLERİ ANONİM ŞİRKETİ,AKSA MÜŞTERİ ÇÖZÜMLERİ ANONİM ŞİRKETİ,Tophane Mahallesi Sahil Sosyal Yaşam Alanı Caddesi No:89 Merkez / RİZE,,Buton yok veya okunamadı
ŞRJ/8941,MANJE BUJE CAFE YELKİ,Halka Açık,EN YAKIT,EN YAKIT ANONİM ŞİRKETİ,EN YAKIT ANONİM ŞİRKETİ,Yelki Mahallesi 2500 Sokağı No:19 Güzelbahçe / İZMİR,,Buton yok veya okunamadı
ŞRJ/8957,Netiz Gross,Halka Açık,oncharge,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ,Ortaköy Mahallesi No:396 Mamak / ANKARA,,Buton yok veya okunamadı
ŞRJ/2279,"KMO İSTANBULPARK GÜNEY OHT DC-1, DC-2, DC-3",Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Akfırat Mahallesi Kuzey Marmara Otoyolu Sokağı Kuzey Marmara Otoyolu İstanbulpark Oht Tuzla / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8960,"ANKARA TREN GARI DC-1, AC-1, AC-2, AC-3, AC-4",Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Eti Mahallesi No:78 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/8961,TRİA RESİDANCE AC-1,Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Yıldızevler Mahallesi 738 Sokağı No:1 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/8962,"KARTAL RAMADA DC-1, AC-1",Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Cumhuriyet Mahallesi Kartal Sokağı No:53 Kartal / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8967,"Çetaş Otomotiv, Bağcılar",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Göztepe Mahallesi İnönü Caddesi No:114 Bağcılar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8971,"Bilkent Otel ve Konferans Merkezi, Çankaya",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Üniversiteler Mahallesi No:6 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/8972,"Mavişehir Sports International, İzmir",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Mavişehir Mahallesi 2040. Sokağı No:3 Karşıyaka / İZMİR,,Buton yok veya okunamadı
ŞRJ/8973,"Sports International Bilkent, Ankara",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Üniversiteler Mahallesi No:1 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/8974,"Şahsuvaroğlu, Pendik",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Çamçeşme Mahallesi Tevfik İleri Caddesi No:209 Pendik / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8986,KONYA BAK YAPI PRESTİJ PARK SİTESİ,Özel,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Bosna Hersek Mahallesi Prof Dr Ahmet Ayhan Caddesi Abideyi Hürriyet Sk. Sokağı No:6 Selçuklu / KONYA,,Buton yok veya okunamadı
ŞRJ/2278,"KMO İSTANBULPARK KUZEY OHT DC-1, DC-2, DC-3",Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Akfırat Mahallesi Kuzey Marmara Otoyolu Sokağı No:60 Kuzey Marmara Otoyolu İstanbulpark Oht Tuzla / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/8996,MADO EVİ DC-1,Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Erkenez Mahallesi 23018 Sokağı No:1 Dulkadiroğlu / KAHRAMANMARAŞ,,Buton yok veya okunamadı
ŞRJ/8997,ZARA GARDEN OTEL AC-1,Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Ahmet Başyurt Mahallesi Dr. Mustafa Zengin Caddesi No:1 Zara / SİVAS,,Buton yok veya okunamadı
ŞRJ/8998,15 TEMMUZ KAPALI OTOPARKI AC-1,Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Sularbaşı Mahallesi Belediye Yanı Kapalı Otopark Merkez / SİVAS,,Buton yok veya okunamadı
ŞRJ/8999,SİVAS HASDÖNER AC-1,Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Gültepe Mahallesi 23. Sokağı No:3 Merkez / SİVAS,,Buton yok veya okunamadı
ŞRJ/9000,TP BENZİNLİK AC-1,Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Huzur Mahallesi İstiklal Caddesi No:28 Merkez / SİVAS,,Buton yok veya okunamadı
ŞRJ/9001,HİLPARK SUİTES AC-2,Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,İstinye Mahallesi Balabandere Caddesi No:1 Sarıyer / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/9002,"CİTY OTOPARK AC-1, AC-2",Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Zeyrek Mahallesi Fazilet Çıkmazı Sokağı No:2 Fatih / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/9003,"İSTANBUL PARK OUTLET DC-1, AC-1, AC-2",Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Cumhuriyet Mahallesi E-5 Yanyol Sokağı No:1 Beylikdüzü / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/9004,"FENİX 84 AC-1, AC-2",Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Zerdalilik Mahallesi 1389 Sokağı No:8 Muratpaşa / ANTALYA,,Buton yok veya okunamadı
ŞRJ/9005,"Y.M.R.T FARM AC-1, AC-2",Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Kilyos Mahallesi Kilyos Caddesi No:341 Sarıyer / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/9006,"MENALO PREMIUM HOTEL AC-1, AC-2",Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Fatih Mahallesi Dr. Hilmi Demirci Caddesi No:32/2 Arnavutköy / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/9007,LOJİSTİK ÜSSÜ OPET AC-1,Halka Açık,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Fethiye Mahallesi Ankara Lojistik Üssü Opet Sokağı No:157 Kahramankazan / ANKARA,,Buton yok veya okunamadı
ŞRJ/9010,"Kolçak Mobilya, Zonguldak",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Çay Mahallesi Zonguldak Caddesi No:59 Gökçebey Yol Ayrımı Devrek / ZONGULDAK,,Buton yok veya okunamadı
ŞRJ/25,"StarCity Outlet Center, İstanbul",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Merkez Mahallesi Değirmenbahçe Caddesi No:2 Köyaltı Bahçelievler / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/9011,"Kaçık Keçi, Beşiktaş",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Gayrettepe Mahallesi Pazar Sokağı Beşiktaş / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/9012,"Ankara Çelik Kapı, Ankara",Halka Açık,eşarj,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ,Yenidoğan Mahallesi D200 Karayolu Caddesi Polatlı / ANKARA,,Buton yok veya okunamadı
