İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/13023,AKDO DONDURMA EVİ BATI ÇEVREYOLU,Halka Açık,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Boğaziçi Mahallesi Batı Çevre Yolu Bulvarı Caddesi Akpınar Sokağı No:166/A Merkez / KAHRAMANMARAŞ,,Buton yok veya okunamadı
ŞRJ/16019,KTÜ Koru Otel,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Üniversite Mahallesi Milli Egemenlik Caddesi No:23 Merkez / TRABZON,,Buton yok veya okunamadı
ŞRJ/16020,KTÜ Sahil Tesisleri,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Üniversite Mahallesi Ahmet Suat Özyazıcı Caddesi No:23 Merkez / TRABZON,,Buton yok veya okunamadı
ŞRJ/16021,KTÜ Farabi Hastanesi Kapalı Otoparkı,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Üniversite Mahallesi Farabi Caddesi No:64 Ortahisar / TRABZON,,Buton yok veya okunamadı
ŞRJ/14815,Shell Malatya-Elazığ Yolu,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Ataşehir Mahallesi Malatya Yolu 12. Km Merkez / ELAZIĞ,,Buton yok veya okunamadı
ŞRJ/16028,"DRAGOS ROYAL TOWER AC-1, AC-2, AC-3",Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Kordonboyu Mahallesi Tekel Sokağı No:80 Kartal / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/16029,"AKDAMAR SKY SUİT AC-1, AC-2",Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Gümüşpınar Mahallesi Aslan Sokağı No:42 Kartal / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/16030,"PORTEKİZ SİTESİ AC-1, AC-2",Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Yenişehir Mahallesi Cumhuriyet Sokağı No:16 Pendik / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/16031,ENGİNSU SİTESİ AC-1,Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Yenişehir Mahallesi Reyhan Sokağı No:37 Pendik / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/16032,"BİZİMTEPE AYDOS S BLOK AC-1, AC-2",Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Veysel Karani Mahallesi Kanuni Sokağı No:3 S Blok Sancaktepe / İSTANBUL,,Buton yok veya okunamadı
